ID,Tipo_Servico,Categoria,Status,Departamento,Cliente,Data_Abertura,Hora_Abertura,Tempo_Resolucao_Horas,SLA_Contratado_Horas,Dentro_SLA,Satisfacao_Cliente,Complexidade,Responsavel
2460,Manutenção,Média Prioridade,Cancelado,Comercial,Cliente E,2024-12-19,17:44,102,96,Não,1,Média,Tecnico_4
5369,Atendimento ao Cliente,Alta Prioridade,Em Andamento,Operações,Cliente D,2025-06-06,8:38,211,96,Não,4,Média,Tecnico_11
4490,Solicitação de Serviço,Alta Prioridade,Em Andamento,Comercial,Cliente A,2025-05-21,16:47,33,24,Não,2,Alta,Tecnico_11
7323,Suporte Técnico,Média Prioridade,Em Andamento,Financeiro,Cliente B,2025-03-17,16:19,181,72,Não,4,Baixa,Tecnico_1
9179,Suporte Técnico,Alta Prioridade,Cancelado,TI,Cliente B,2025-04-02,17:25,70,96,Sim,2,Média,Tecnico_11
9025,Atendimento ao Cliente,Alta Prioridade,Pendente,Comercial,Cliente A,2025-03-15,11:11,181,72,Não,2,Média,Tecnico_13
7815,Manutenção,Baixa Prioridade,Cancelado,Financeiro,Cliente A,2025-04-25,9:15,77,96,Sim,2,Baixa,Tecnico_3
7174,Atendimento ao Cliente,Baixa Prioridade,Em Andamento,Financeiro,Cliente A,2025-01-03,10:42,40,24,Não,4,Baixa,Tecnico_9
5735,Incidente Crítico,Alta Prioridade,Em Andamento,Operações,Cliente B,2025-02-13,17:51,131,48,Não,4,Média,Tecnico_9
1466,Incidente Crítico,Média Prioridade,Resolvido,RH,Cliente D,2025-02-14,18:04,77,24,Não,4,Média,Tecnico_11
1396,Incidente Crítico,Alta Prioridade,Resolvido,TI,Cliente A,2025-02-16,9:37,38,24,Não,1,Média,Tecnico_16
8484,Solicitação de Serviço,Alta Prioridade,Resolvido,TI,Cliente B,2025-06-03,8:44,226,48,Não,3,Baixa,Tecnico_7
5892,Solicitação de Serviço,Alta Prioridade,Resolvido,Financeiro,Cliente D,2025-01-30,14:55,204,24,Não,1,Alta,Tecnico_7
3105,Incidente Crítico,Média Prioridade,Cancelado,Comercial,Cliente D,2025-05-16,13:18,221,96,Não,1,Alta,Tecnico_7
4725,Incidente Crítico,Alta Prioridade,Em Andamento,Operações,Cliente A,2025-06-03,8:49,116,96,Não,5,Baixa,Tecnico_17
4712,Suporte Técnico,Baixa Prioridade,Pendente,TI,Cliente B,2025-01-27,8:13,236,24,Não,5,Baixa,Tecnico_9
1433,Incidente Crítico,Baixa Prioridade,Resolvido,TI,Cliente C,2025-06-05,8:16,36,48,Sim,4,Alta,Tecnico_12
9757,Suporte Técnico,Alta Prioridade,Em Andamento,RH,Cliente B,2025-01-05,16:16,130,96,Não,4,Média,Tecnico_20
7268,Atendimento ao Cliente,Baixa Prioridade,Pendente,Comercial,Cliente D,2025-02-16,9:06,39,48,Sim,3,Alta,Tecnico_5
4521,Atendimento ao Cliente,Baixa Prioridade,Resolvido,RH,Cliente E,2025-01-17,10:44,133,48,Não,5,Média,Tecnico_13
8550,Incidente Crítico,Média Prioridade,Em Andamento,Comercial,Cliente A,2025-04-30,9:17,39,24,Não,1,Média,Tecnico_10
5608,Suporte Técnico,Baixa Prioridade,Pendente,RH,Cliente E,2025-02-17,8:15,188,48,Não,4,Baixa,Tecnico_8
7395,Atendimento ao Cliente,Média Prioridade,Cancelado,TI,Cliente B,2025-05-04,8:42,71,48,Não,4,Baixa,Tecnico_11
7794,Manutenção,Baixa Prioridade,Pendente,Operações,Cliente B,2025-03-02,12:15,110,24,Não,3,Alta,Tecnico_5
1847,Atendimento ao Cliente,Baixa Prioridade,Pendente,TI,Cliente A,2025-02-28,18:29,132,72,Não,5,Baixa,Tecnico_18
9196,Incidente Crítico,Baixa Prioridade,Cancelado,RH,Cliente D,2025-02-22,9:47,238,24,Não,1,Alta,Tecnico_5
1821,Suporte Técnico,Alta Prioridade,Resolvido,Comercial,Cliente C,2025-03-07,18:24,110,48,Não,4,Alta,Tecnico_13
5471,Incidente Crítico,Média Prioridade,Pendente,Operações,Cliente C,2025-02-27,9:27,152,96,Não,4,Alta,Tecnico_9
3665,Solicitação de Serviço,Média Prioridade,Resolvido,Financeiro,Cliente E,2025-03-31,13:01,148,24,Não,4,Alta,Tecnico_6
2301,Solicitação de Serviço,Alta Prioridade,Cancelado,RH,Cliente C,2025-03-21,13:34,33,96,Sim,4,Média,Tecnico_5
4314,Incidente Crítico,Média Prioridade,Em Andamento,Comercial,Cliente C,2025-01-14,15:15,62,96,Sim,5,Baixa,Tecnico_7
9045,Incidente Crítico,Média Prioridade,Pendente,Operações,Cliente A,2025-03-08,12:49,187,96,Não,2,Baixa,Tecnico_18
6899,Atendimento ao Cliente,Média Prioridade,Cancelado,TI,Cliente C,2025-03-15,12:25,23,72,Sim,2,Média,Tecnico_8
3647,Suporte Técnico,Média Prioridade,Pendente,Operações,Cliente A,2025-01-02,15:06,211,72,Não,3,Alta,Tecnico_13
7814,Solicitação de Serviço,Alta Prioridade,Resolvido,TI,Cliente E,2025-05-25,14:51,9,24,Sim,1,Baixa,Tecnico_6
8927,Solicitação de Serviço,Alta Prioridade,Pendente,Operações,Cliente D,2024-12-22,9:16,95,96,Sim,3,Alta,Tecnico_8
8462,Incidente Crítico,Alta Prioridade,Pendente,Comercial,Cliente B,2025-01-14,8:19,202,72,Não,3,Alta,Tecnico_10
3583,Atendimento ao Cliente,Baixa Prioridade,Resolvido,TI,Cliente E,2025-06-07,17:30,193,72,Não,5,Baixa,Tecnico_20
2735,Atendimento ao Cliente,Baixa Prioridade,Em Andamento,TI,Cliente E,2025-03-26,8:10,177,72,Não,1,Média,Tecnico_19
3210,Incidente Crítico,Baixa Prioridade,Em Andamento,Operações,Cliente D,2025-04-10,17:36,225,96,Não,3,Baixa,Tecnico_18
9258,Incidente Crítico,Média Prioridade,Resolvido,RH,Cliente C,2025-01-24,11:24,4,72,Sim,1,Alta,Tecnico_9
3381,Incidente Crítico,Alta Prioridade,Em Andamento,Comercial,Cliente D,2025-01-06,18:48,178,48,Não,2,Baixa,Tecnico_1
7649,Suporte Técnico,Baixa Prioridade,Pendente,Operações,Cliente E,2025-05-12,9:09,110,96,Não,5,Baixa,Tecnico_10
5824,Solicitação de Serviço,Baixa Prioridade,Pendente,RH,Cliente C,2024-12-28,14:23,121,48,Não,5,Alta,Tecnico_17
4497,Atendimento ao Cliente,Baixa Prioridade,Resolvido,Financeiro,Cliente A,2025-05-19,18:45,210,48,Não,5,Média,Tecnico_17
9655,Manutenção,Baixa Prioridade,Em Andamento,Comercial,Cliente D,2025-05-17,10:53,139,72,Não,3,Alta,Tecnico_1
1883,Incidente Crítico,Média Prioridade,Pendente,RH,Cliente C,2025-02-01,11:05,92,48,Não,5,Alta,Tecnico_13
6078,Solicitação de Serviço,Média Prioridade,Resolvido,Comercial,Cliente B,2025-03-29,11:01,45,72,Sim,3,Baixa,Tecnico_1
9613,Incidente Crítico,Alta Prioridade,Pendente,Comercial,Cliente D,2025-04-24,12:19,41,24,Não,5,Baixa,Tecnico_11
1440,Atendimento ao Cliente,Média Prioridade,Cancelado,Operações,Cliente E,2025-02-12,10:32,165,96,Não,2,Alta,Tecnico_11
4084,Solicitação de Serviço,Baixa Prioridade,Resolvido,RH,Cliente A,2025-05-30,8:19,27,72,Sim,3,Média,Tecnico_20
1088,Suporte Técnico,Alta Prioridade,Pendente,TI,Cliente D,2025-01-18,8:56,123,96,Não,3,Média,Tecnico_7
5979,Atendimento ao Cliente,Baixa Prioridade,Cancelado,Operações,Cliente E,2025-04-10,10:45,165,24,Não,5,Alta,Tecnico_6
6644,Suporte Técnico,Baixa Prioridade,Cancelado,Operações,Cliente E,2024-12-21,13:53,6,96,Sim,3,Baixa,Tecnico_13
7086,Solicitação de Serviço,Baixa Prioridade,Cancelado,Operações,Cliente A,2025-02-27,12:44,180,48,Não,3,Baixa,Tecnico_9
9076,Incidente Crítico,Alta Prioridade,Cancelado,Operações,Cliente C,2025-06-02,8:44,59,24,Não,5,Baixa,Tecnico_11
6593,Incidente Crítico,Média Prioridade,Em Andamento,Operações,Cliente B,2025-03-18,9:21,46,72,Sim,3,Baixa,Tecnico_4
2610,Manutenção,Alta Prioridade,Resolvido,Financeiro,Cliente E,2024-12-17,11:06,179,96,Não,4,Média,Tecnico_1
2569,Atendimento ao Cliente,Alta Prioridade,Em Andamento,RH,Cliente D,2025-04-26,17:12,70,48,Não,4,Baixa,Tecnico_12
4414,Incidente Crítico,Alta Prioridade,Resolvido,Financeiro,Cliente C,2025-05-26,12:49,108,72,Não,3,Baixa,Tecnico_10
8183,Incidente Crítico,Baixa Prioridade,Em Andamento,RH,Cliente A,2025-02-06,17:12,35,48,Sim,5,Média,Tecnico_15
7288,Manutenção,Baixa Prioridade,Resolvido,Comercial,Cliente B,2025-04-15,9:38,109,96,Não,3,Alta,Tecnico_5
6261,Incidente Crítico,Alta Prioridade,Cancelado,TI,Cliente B,2025-01-03,16:19,207,96,Não,4,Alta,Tecnico_4
8173,Solicitação de Serviço,Baixa Prioridade,Em Andamento,Financeiro,Cliente C,2025-04-02,13:30,131,96,Não,4,Baixa,Tecnico_4
9936,Suporte Técnico,Média Prioridade,Em Andamento,TI,Cliente A,2025-03-15,14:17,234,48,Não,1,Média,Tecnico_5
4905,Atendimento ao Cliente,Baixa Prioridade,Em Andamento,TI,Cliente D,2025-06-05,9:48,220,48,Não,5,Média,Tecnico_1
6834,Solicitação de Serviço,Alta Prioridade,Em Andamento,Operações,Cliente A,2025-02-03,11:56,65,72,Sim,3,Média,Tecnico_9
2254,Incidente Crítico,Média Prioridade,Resolvido,Comercial,Cliente B,2025-04-10,12:48,238,96,Não,5,Alta,Tecnico_13
5048,Incidente Crítico,Baixa Prioridade,Pendente,Comercial,Cliente D,2024-12-15,18:13,3,48,Sim,1,Baixa,Tecnico_9
6892,Suporte Técnico,Baixa Prioridade,Em Andamento,Operações,Cliente D,2025-04-25,9:44,141,24,Não,2,Média,Tecnico_20
2987,Solicitação de Serviço,Baixa Prioridade,Cancelado,Operações,Cliente A,2025-03-26,18:15,149,96,Não,4,Média,Tecnico_17
6788,Incidente Crítico,Alta Prioridade,Resolvido,Comercial,Cliente E,2025-01-25,16:12,211,96,Não,1,Alta,Tecnico_19
4567,Solicitação de Serviço,Baixa Prioridade,Cancelado,RH,Cliente C,2025-01-20,17:23,4,72,Sim,3,Baixa,Tecnico_16
9311,Suporte Técnico,Baixa Prioridade,Resolvido,Operações,Cliente A,2025-02-14,18:40,35,24,Não,1,Alta,Tecnico_7
2968,Suporte Técnico,Alta Prioridade,Cancelado,Comercial,Cliente B,2025-05-26,10:36,5,96,Sim,4,Baixa,Tecnico_4
8032,Manutenção,Alta Prioridade,Pendente,RH,Cliente D,2025-05-12,8:12,107,24,Não,5,Baixa,Tecnico_7
7885,Solicitação de Serviço,Média Prioridade,Resolvido,Operações,Cliente E,2025-02-14,13:56,240,96,Não,1,Baixa,Tecnico_12
1171,Solicitação de Serviço,Baixa Prioridade,Resolvido,TI,Cliente E,2025-01-30,13:32,164,24,Não,5,Alta,Tecnico_20
3630,Incidente Crítico,Baixa Prioridade,Cancelado,RH,Cliente C,2024-12-12,13:04,112,72,Não,3,Baixa,Tecnico_8
7629,Manutenção,Baixa Prioridade,Em Andamento,RH,Cliente C,2025-05-10,16:41,116,48,Não,4,Baixa,Tecnico_10
8474,Incidente Crítico,Alta Prioridade,Cancelado,Operações,Cliente E,2025-01-05,13:16,96,24,Não,5,Média,Tecnico_17
9418,Incidente Crítico,Média Prioridade,Pendente,Financeiro,Cliente C,2024-12-13,11:02,220,24,Não,4,Média,Tecnico_11
8337,Suporte Técnico,Baixa Prioridade,Pendente,Financeiro,Cliente B,2024-12-26,12:43,16,24,Sim,3,Média,Tecnico_2
2034,Incidente Crítico,Baixa Prioridade,Pendente,Comercial,Cliente B,2025-03-20,13:44,22,96,Sim,5,Baixa,Tecnico_3
5249,Incidente Crítico,Média Prioridade,Em Andamento,TI,Cliente C,2025-02-08,10:29,166,96,Não,4,Média,Tecnico_11
9103,Incidente Crítico,Alta Prioridade,Pendente,Financeiro,Cliente B,2025-05-03,14:12,59,48,Não,3,Média,Tecnico_16
6318,Atendimento ao Cliente,Baixa Prioridade,Cancelado,RH,Cliente B,2025-05-17,12:27,210,24,Não,2,Alta,Tecnico_18
